age,default,housing,loan,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,month_num,day_num,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,education_basic.4y,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,contact_cellular,contact_telephone,poutcome_failure,poutcome_nonexistent,poutcome_success
56,0,0,0,may,mon,261.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
37,0,1,0,may,mon,226.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
40,0,0,0,may,mon,151.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
56,0,0,1,may,mon,307.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
59,0,0,0,may,mon,139.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
24,0,1,0,may,mon,380.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
25,0,1,0,may,mon,50.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
25,0,1,0,may,mon,222.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
29,0,0,1,may,mon,137.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False
57,0,1,0,may,mon,293.0,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,5,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
