age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed,age_group,was_contacted_before,high_contact_freq,season,segment,segment_name,conv_probability,priority_rank
52,admin.,married,university.degree,no,yes,no,telephone,apr,wed,403,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,1,50-60,1,0,Spring,1,Warm Prospects,0.99217826,1
33,admin.,married,university.degree,no,yes,no,cellular,apr,wed,623,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.992144,2
83,retired,married,university.degree,no,no,no,telephone,jul,tue,617,1,12,1,success,-1.7,94.215,-40.3,0.835,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9920167,3
92,retired,married,university.degree,no,no,yes,cellular,aug,tue,1064,1,3,1,success,-1.7,94.027,-38.3,0.904,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9916618,4
39,admin.,married,high.school,no,yes,no,cellular,may,tue,552,1,3,2,success,-1.8,93.876,-40.0,0.668,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.99139273,5
60,management,married,university.degree,no,yes,yes,cellular,jul,thu,395,1,4,2,success,-1.7,94.215,-40.3,0.782,4991.6,1,50-60,1,0,Summer,1,Warm Prospects,0.9913093,6
34,admin.,single,high.school,no,no,no,cellular,mar,tue,469,1,6,2,success,-1.8,93.369,-34.8,0.652,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.99091595,7
34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,568,1,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.99065185,8
60,admin.,married,university.degree,no,yes,no,cellular,may,wed,762,1,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,1,50-60,1,0,Spring,1,Warm Prospects,0.9901073,9
31,technician,single,university.degree,no,no,no,telephone,oct,thu,154,1,999,0,nonexistent,-0.1,93.798,-40.4,4.794,5195.8,1,30-40,0,0,Autumn,4,Hard to Convert,0.99009246,10
80,retired,divorced,basic.4y,no,yes,yes,cellular,apr,thu,554,1,10,2,success,-1.8,93.749,-34.6,0.644,5008.7,1,60+,1,0,Spring,2,High-Value Responders,0.99008465,11
35,admin.,married,university.degree,no,no,no,cellular,jul,thu,951,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.99002796,12
38,admin.,single,high.school,no,yes,no,cellular,apr,thu,882,1,6,1,success,-1.8,93.749,-34.6,0.659,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.989986,13
34,admin.,single,university.degree,no,no,no,telephone,oct,tue,135,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,1,30-40,0,0,Autumn,4,Hard to Convert,0.98998135,14
50,housemaid,married,basic.4y,no,no,yes,cellular,jul,wed,462,1,4,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,40-50,1,0,Summer,1,Warm Prospects,0.98987377,15
60,retired,divorced,professional.course,no,yes,no,cellular,apr,thu,968,1,5,2,failure,-1.8,93.075,-47.1,1.365,5099.1,1,50-60,1,0,Spring,2,High-Value Responders,0.9897649,16
31,student,single,university.degree,no,no,no,cellular,jul,fri,608,3,6,2,success,-1.7,94.215,-40.3,0.885,4991.6,1,30-40,1,0,Summer,1,Warm Prospects,0.9895858,17
38,admin.,single,high.school,no,yes,yes,cellular,apr,thu,449,1,13,1,success,-1.8,93.749,-34.6,0.659,5008.7,1,30-40,1,0,Spring,1,Warm Prospects,0.98953587,18
41,admin.,married,university.degree,no,no,no,cellular,sep,wed,845,1,7,3,success,-1.1,94.199,-37.5,0.886,4963.6,1,40-50,1,0,Autumn,1,Warm Prospects,0.9895118,19
56,management,married,basic.6y,no,yes,no,cellular,jun,tue,910,1,7,2,success,-1.7,94.055,-39.8,0.723,4991.6,1,50-60,1,0,Summer,1,Warm Prospects,0.9894187,20
84,retired,divorced,basic.4y,no,yes,yes,cellular,jul,tue,666,1,3,2,success,-1.7,94.215,-40.3,0.893,4991.6,1,60+,1,0,Summer,2,High-Value Responders,0.9893484,21
33,admin.,married,university.degree,no,no,no,telephone,oct,wed,167,1,999,0,nonexistent,-0.1,93.798,-40.4,4.827,5195.8,0,30-40,0,0,Autumn,4,Hard to Convert,0.9892581,22
